[2025-07-14 16:25:25] ✅ LAUNCHED [20250714_162522]: algo=NSGA3 | P=0.01 | C=0.5 | eta=15 | seed=1898 | session=moo_NSGA3_P0.01_C0.5_E15_S1898_20250714_162522
[2025-07-14 16:25:25] ✅ LAUNCHED [20250714_162522]: algo=NSGA3 | P=0.01 | C=0.5 | eta=15 | seed=795 | session=moo_NSGA3_P0.01_C0.5_E15_S795_20250714_162522
[2025-07-14 16:25:25] ✅ LAUNCHED [20250714_162522]: algo=NSGA3 | P=0.01 | C=0.5 | eta=15 | seed=1523 | session=moo_NSGA3_P0.01_C0.5_E15_S1523_20250714_162522
[2025-07-14 16:25:25] ✅ LAUNCHED [20250714_162522]: algo=NSGA3 | P=0.01 | C=0.5 | eta=15 | seed=412 | session=moo_NSGA3_P0.01_C0.5_E15_S412_20250714_162522
[2025-07-14 16:25:25] ✅ LAUNCHED [20250714_162522]: algo=NSGA3 | P=0.01 | C=0.5 | eta=15 | seed=883 | session=moo_NSGA3_P0.01_C0.5_E15_S883_20250714_162522
[2025-07-14 16:25:25] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=20 | seed=237 | session=moo_NSGA2_P0.01_C0.5_E20_S237_20250714_162522
[2025-07-14 16:25:26] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=20 | seed=1724 | session=moo_NSGA2_P0.01_C0.5_E20_S1724_20250714_162522
[2025-07-14 16:25:26] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=20 | seed=1757 | session=moo_NSGA2_P0.01_C0.5_E20_S1757_20250714_162522
[2025-07-14 16:25:26] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=20 | seed=991 | session=moo_NSGA2_P0.01_C0.5_E20_S991_20250714_162522
[2025-07-14 16:25:26] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=20 | seed=363 | session=moo_NSGA2_P0.01_C0.5_E20_S363_20250714_162522
[2025-07-14 16:25:26] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=20 | seed=477 | session=moo_NSGA2_P0.01_C0.5_E20_S477_20250714_162522
[2025-07-14 16:25:26] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=20 | seed=1440 | session=moo_NSGA2_P0.01_C0.5_E20_S1440_20250714_162522
[2025-07-14 16:25:26] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=20 | seed=659 | session=moo_NSGA2_P0.01_C0.5_E20_S659_20250714_162522
[2025-07-14 16:25:26] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=20 | seed=581 | session=moo_NSGA2_P0.01_C0.5_E20_S581_20250714_162522
[2025-07-14 16:25:26] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=20 | seed=1125 | session=moo_NSGA2_P0.01_C0.5_E20_S1125_20250714_162522
[2025-07-14 16:25:26] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=20 | seed=786 | session=moo_NSGA2_P0.01_C0.5_E20_S786_20250714_162522
[2025-07-14 16:25:26] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=20 | seed=73 | session=moo_NSGA2_P0.01_C0.5_E20_S73_20250714_162522
[2025-07-14 16:25:26] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=20 | seed=1766 | session=moo_NSGA2_P0.01_C0.5_E20_S1766_20250714_162522
[2025-07-14 16:25:26] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=20 | seed=654 | session=moo_NSGA2_P0.01_C0.5_E20_S654_20250714_162522
[2025-07-14 16:25:26] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=20 | seed=1355 | session=moo_NSGA2_P0.01_C0.5_E20_S1355_20250714_162522
[2025-07-14 16:25:26] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=20 | seed=213 | session=moo_NSGA2_P0.01_C0.5_E20_S213_20250714_162522
[2025-07-14 16:25:26] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=20 | seed=1535 | session=moo_NSGA2_P0.01_C0.5_E20_S1535_20250714_162522
[2025-07-14 16:25:26] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=20 | seed=402 | session=moo_NSGA2_P0.01_C0.5_E20_S402_20250714_162522
[2025-07-14 16:25:26] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=20 | seed=1590 | session=moo_NSGA2_P0.01_C0.5_E20_S1590_20250714_162522
[2025-07-14 16:25:26] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=20 | seed=1822 | session=moo_NSGA2_P0.01_C0.5_E20_S1822_20250714_162522
[2025-07-14 16:25:26] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=20 | seed=1016 | session=moo_NSGA2_P0.01_C0.5_E20_S1016_20250714_162522
[2025-07-14 16:25:26] ✅ LAUNCHED [20250714_162522]: algo=RNSGA2 | P=0.01 | C=0.5 | eta=20 | seed=1047 | session=moo_RNSGA2_P0.01_C0.5_E20_S1047_20250714_162522
[2025-07-14 16:25:26] ✅ LAUNCHED [20250714_162522]: algo=RNSGA2 | P=0.01 | C=0.5 | eta=20 | seed=1057 | session=moo_RNSGA2_P0.01_C0.5_E20_S1057_20250714_162522
[2025-07-14 16:25:26] ✅ LAUNCHED [20250714_162522]: algo=RNSGA2 | P=0.01 | C=0.5 | eta=20 | seed=1769 | session=moo_RNSGA2_P0.01_C0.5_E20_S1769_20250714_162522
[2025-07-14 16:25:26] ✅ LAUNCHED [20250714_162522]: algo=RNSGA2 | P=0.01 | C=0.5 | eta=20 | seed=212 | session=moo_RNSGA2_P0.01_C0.5_E20_S212_20250714_162522
[2025-07-14 16:25:26] ✅ LAUNCHED [20250714_162522]: algo=RNSGA2 | P=0.01 | C=0.5 | eta=20 | seed=1924 | session=moo_RNSGA2_P0.01_C0.5_E20_S1924_20250714_162522
[2025-07-14 16:25:26] ✅ LAUNCHED [20250714_162522]: algo=RNSGA2 | P=0.01 | C=0.5 | eta=20 | seed=1289 | session=moo_RNSGA2_P0.01_C0.5_E20_S1289_20250714_162522
